Item_Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Keema Naan,Pilau Rice,Garlic Naan,Plain Rice,Keema Rice,Aloo Gobi,Lamb Tikka Jalfrezi,Korma,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Onion Chutney,Plain Papadum,Plain Naan,Pilau Rice,Saag Aloo,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Plain Rice,Korma,Prawn Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Papadum,Lamb Biryani,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Lime Pickle,Plain Papadum,Paratha,Plain Rice,Pilau Rice,Meat Samosa,Bombay Aloo,Royal Paneer,Tandoori Fish,Chicken Tikka Masala,Saag,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Pathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Lime Pickle,Mint Sauce,Red Sauce,Plain Papadum,Pilau Rice,Kulcha Naan,Keema Rice,Aloo Gobi,Bhuna,Saag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Vegetable Balti,Paneer Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Keema Naan,Meat Samosa,Vegetable Rice,Madras,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Keema Naan,Pilau Rice,Dupiaza,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
