Item_Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Mushroom Rice,Chana Masala,Chicken Tikka Jalfrezi,Paneer Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Meat Samosa,Lamb Tikka,Saag Aloo,Dhansak,Chicken Tikka Sizzler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Keema Naan,Saag Aloo,Vindaloo,Lamb Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Plain Rice,Chicken Tikka Masala,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Plain Rice,Paratha,Keema Rice,Chicken Tikka,Pathia,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Special Fried Rice,Curry,Chicken Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Plain Rice,Garlic Naan,Pilau Rice,Sheek Kebab,Tarka Dall,Saag Paneer,Chicken Tikka Masala,Chicken Tikka Jalfrezi,Chicken Balti,Vegetable Biryani,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raitha,Pilau Rice,French Fries,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Plain Rice,Peshwari Naan,Keema Naan,Pilau Rice,Korma,Chicken Tikka Masala,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puree,Plain Naan,Plain Rice,Special Fried Rice,Saag Aloo,Methi,Chicken Tikka Jeera,Dhansak,Tandoori King Prawn Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Rice,Chicken Tikka,Lamb Tikka,Bombay Aloo,Mushroom Bhajee,Madras,Chicken Tikka Masala,Chicken Biryani,Lamb Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Tandoori Chicken (1/4),Aloo Methi,Brinjal Bhajee,House white wine 75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Green Salad,Chicken Tikka,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Rogon,Chicken Tikka Masala,Lamb Tikka Chilli Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Onion Bhajee,Onion Rice,Cauliflower Bhajee,Royal Paneer,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Meat Samosa,Sheek Kebab,Mushroom Bhajee,Bhuna,Rogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Paneer,Lamb Biryani,Chicken Balti,Lamb Sylhet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Keema Naan,Kulcha Naan,Onion Bhajee,Garlic Rice,Keema Rice,Dhansak,Pathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Plain Rice,Chicken Tikka,Chicken Tikka Jalfrezi,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Red Sauce,Plain Papadum,Chapati,Pilau Rice,Meat Samosa,Onion Bhajee,Special Fried Rice,Chicken Chaat,Mushroom Bhajee,Saag Aloo,Chicken Tikka Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Red Sauce,Plain Papadum,Chapati,Pilau Rice,Meat Samosa,Onion Bhajee,Special Fried Rice,Chicken Chaat,Mushroom Bhajee,Saag Aloo,Chicken Tikka Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,Pilau Rice,Chicken Chaat,Saag Aloo,Bhuna,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Mixed Starter,Tarka Dall,Chicken Tikka Jalfrezi,Chicken Tikka Chilli Masala,Lal Mirch Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Rice,Chicken Tikka Chilli Masala,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,Pilau Rice,Chicken Chaat,Saag Aloo,Chicken Tikka Masala,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Plain Rice,Korma,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Tarka Dall,Saag Bhajee,Chicken Tikka (Main),Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Egg Rice,Bombay Aloo,Chicken Karahi,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka (Main),Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raitha,Pilau Rice,Garlic Naan,Peshwari Naan,Onion Bhajee,Meat Samosa,Chicken Chaat,Madras,Saag,Lamb Tikka Pasanda,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Sylhet,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Plain Papadum,Coke 1.5 ltr,Garlic Rice,Vindaloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Garlic Naan,Vegetable Rice,Chicken Tikka Masala,Vegetable Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Pilau Rice,Garlic Naan,Madras,Curry,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Naan,Curry Sauce,Mushroom Rice,Special Fried Rice,Chicken Tikka Pasanda,Dupiaza,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,Onion Bhajee,Curry,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Onion Naan,Vegetable Rice,Pathia,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Chicken Tikka,Bombay Aloo,Bhindi Bhajee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Tandoori Roti,Diet Coke 1.5 ltr,Vegetable Roll,Aloo Chaat,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Peshwari Naan,Onion Bhajee,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Chapati,Garlic Naan,Mushroom Rice,Bombay Aloo,Madras,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Green Salad,Garlic Naan,Diet Coke 1.5 ltr,Sheek Kebab,Prawn Puree,Saag Paneer,Madras,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Red Sauce,Plain Papadum,Raitha,Pilau Rice,Meat Samosa,French Fries,Korma,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Special Fried Rice,Saag Aloo,Curry,Tandoori Mixed Grill,King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Plain Papadum,Plain Rice,Green Salad,Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Tandoori Roti,Tandoori Chicken (1/4),Lamb Karahi,Korma,Paneer Tikka Sizzler,Chicken Tikka Balti,Chicken Tikka Biryani,Lamb Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Sheek Kebab,Vindaloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Garlic Naan,Raitha,Pilau Rice,Lamb Tikka Chilli Masala,Lamb Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Meat Samosa,Korma Sauce,Lamb Tikka,Chicken Tikka (Main),Sheek Kebab (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Pilau Rice,Bombay Aloo,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Red Sauce,Plain Naan,Plain Rice,Peshwari Naan,Lemonade 1.5 ltr,Meat Samosa,Bhuna,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muttar Paneer,Bhindi Bhajee,Saag Dall,Baingan Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raitha,Onion Rice,Saag Paneer,Lamb Karahi,Paneer Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Madras Sauce,COBRA (330ML),Saag Aloo,Bhindi Bhajee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Mushroom Rice,Bombay Aloo,Chicken Tikka Balti,Lamb Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,King Prawn Puree,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Bhajee,Mushroom Rice,Egg Rice,Special Fried Rice,Chicken Pakora,Pathia,Bengal Fish Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Spicy Papadum,Chapati,Pilau Rice,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Mushroom,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Mushroom,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom Rice,Lal Mirch Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Lime Pickle,Plain Papadum,Plain Naan,Pilau Rice,Onion Bhajee,Bombay Aloo,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Garlic Naan,Vegetable Karahi,Pathia,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Chicken Pakora,Chicken Tikka Masala,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Raitha,Keema Naan,Pilau Rice,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Plain Papadum,Chapati,Plain Rice,Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Roll,Chicken Pakora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Salad,Curry,Curry,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka Balti,Persian Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Garlic Naan,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Plain Rice,Bhindi Bhajee,Korma,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Papadum,Tandoori Roti,Raitha,Plain Rice,Mixed Starter,Bombay Aloo,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Keema Naan,Garlic Naan,Pilau Rice,Onion Naan,Onion Bhajee,Prawn Puree,King Prawn Butterfly,Lamb Tikka (Main),Korma,Saag,Bhuna,Chicken Mysore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Meat Samosa,Mushroom Rice,Aloo Gobi,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Onion Bhajee,Special Fried Rice,Aloo Gobi,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Saag Rice,Onion Rice,Prawn Puree,King Prawn Butterfly,Pathia,Chicken Tikka Sizzler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Spicy Papadum,Pilau Rice,Garlic Naan,Bengal Salad,Vegetable Rice,Chicken Tikka Jalfrezi,Chicken Roshni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarka Dall,Chana Masala,Bhindi Bhajee,Paneer Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Naan,Tandoori Fish,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Lamb Biryani,Prawn Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Rice,Mixed Starter,Bombay Aloo,Saag Aloo,Dhansak,King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Pilau Rice,Garlic Naan,Madras,Saag,Dhansak,Bhuna,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Pilau Rice,Onion Bhajee,Tandoori Chicken Masala,Saag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diet Coke 1.5 ltr,Special Fried Rice,French Fries,Bhuna,Lamb Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Pilau Rice,Meat Samosa,Lamb Tikka,Madras,Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,French Fries,Aloo Chaat,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Special Fried Rice,Saag Aloo,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Red Sauce,Plain Papadum,Pilau Rice,Peshwari Naan,Brinjal Bhajee,Saag Paneer,Chicken Tikka Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Salad,Peshwari Naan,Plain Rice,Lamb Tikka,Madras,Tandoori King Prawn Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Peshwari Naan,Mushroom Rice,Bombay Aloo,Mushroom Bhajee,Chicken Tikka Masala,Pathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Keema Naan,Madras Sauce,Chicken Tikka (Main),Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Keema Naan,Masala Sauce,Chicken Tikka (Main),Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Keema Naan,Mushroom Rice,Tandoori Chicken (1/4),Madras,Korma,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Madras,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Chaat,Chicken Tikka,Chicken Tikka Chilli Masala,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Tarka Dall,Lamb Shashlick,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulcha Naan,Onion Bhajee,Special Fried Rice,Keema Rice,Dhansak,Pathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Onion Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Pilau Rice,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Chapati,Plain Naan,Plain Rice,Pilau Rice,Lemonade 1.5 ltr,Mixed Starter,Mushroom Bhajee,Madras,Chicken Biryani,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Aloo Chaat,Saag Aloo,Madras,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Naan,Pilau Rice,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,Mushroom Rice,Chicken Chaat,Saag Aloo,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,Chicken Tikka,Saag Paneer,Pathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,Special Fried Rice,Lemon Rice,Chicken Pakora,COBRA (660ML),Chicken Tikka Jeera,Chicken Tikka Masala,Chicken Tikka Karahi,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Bombay Aloo,Chicken Haryali,Chicken Shashlick,King Prawn Shaslick,King Prawn Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Kulcha Naan,Onion Naan,Onion Bhajee,Egg Rice,Mixed Starter,Korma,Rogon,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Pilau Rice,Sheek Kebab,Prawn Puree,Pathia,Saag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Chaat,Tandoori Fish,Mixed Vegetable Curry,Persian Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Lamb Tikka,Mixed Vegetable Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhindi Bhajee,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Rice,Egg Rice,Curry,Chicken Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Tandoori Roti,Muttar Paneer,Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras,Chicken Tikka Masala,Chicken Biryani,Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras,Chicken Tikka Masala,Chicken Biryani,Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Red Sauce,Plain Papadum,Plain Naan,Pilau Rice,Onion Bhajee,Chicken Tikka (Main),Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Onion Bhajee,Onion Rice,Chicken Chaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Plain Rice,Korma,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Special Fried Rice,Saag Aloo,Chicken Tikka Masala,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Rice,Onion Bhajee,Stuffed Paratha,Bombay Aloo,Madras,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhindi Bhajee,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Keema Naan,Madras,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Rice,Saag Aloo,Chicken Tikka Balti,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Onion Naan,Pilau Rice,Masala Sauce,Bombay Aloo,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Pilau Rice,Tandoori Chicken (1/4),Bombay Aloo,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Chicken (Main),Vegetable Biryani,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Lime Pickle,Plain Papadum,Pilau Rice,Garlic Naan,Mushroom Rice,Korma,Chicken Tikka Chilli Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Pilau Rice,Royal Paneer,Chicken Tikka Pasanda,Chicken Tikka Masala,Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,Madras,Tandoori Chicken (Main),Korma,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Red Sauce,Plain Papadum,Plain Rice,Coke 1.5 ltr,Vindaloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Raitha,French Fries,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Pilau Rice,Garlic Naan,Chicken Tikka Masala,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Keema Naan,Tandoori Chicken Masala,Saag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Bhajee,Chicken Tikka,King Prawn Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
